,X.,project,language,pull_id,pull_number,commits_per_pr,changed_files,churn,comments,comments_interval,merge_workload,description_length,contributor_experience,queue_rank,contributor_integration,stacktrace_attached,activities,merge_time,delivery_time,practice
1,1,Yelp/mrjob,Python,2964507958,2226,1,1,8,0,,,0,,,,,,,,
2,2,Yelp/mrjob,Python,2395254632,2225,5,3,12,3,,,96,,,,,,,,
3,3,Yelp/mrjob,Python,1073322549,2220,2,1,21,0,,,1075,,,,,,,,
4,4,Yelp/mrjob,Python,996346041,2218,1,3,6,0,,,366,,,,,,,,
5,5,Yelp/mrjob,Python,887630941,2215,7,4,51,0,,,827,,,,,,,,
6,6,Yelp/mrjob,Python,775453203,2214,1,1,4,0,,,96,,,,,,,,
7,7,Yelp/mrjob,Python,606152448,2209,1,1,3,0,,,154,,,,,,,,
8,8,Yelp/mrjob,Python,606106958,2208,1,1,28,3,,,450,,,,,,,,
9,9,Yelp/mrjob,Python,488286310,2203,12,16,490,0,,,195,,,,,,,,
10,10,Yelp/mrjob,Python,486131058,2202,17,6,948,0,,,1548,,,,,,,,
11,11,Yelp/mrjob,Python,474332728,2197,15,6,450,1,,,198,,,,,,,,
12,12,Yelp/mrjob,Python,458624904,2189,38,10,830,2,,,879,,,,,,,,
13,13,Yelp/mrjob,Python,455639944,2188,1,46,1464,1,,,418,,,,,,,,
14,14,Yelp/mrjob,Python,453764065,2187,14,7,315,2,,,418,,,,,,,,
15,15,Yelp/mrjob,Python,441705418,2184,37,17,629,1,,,399,,,,,,,,
16,16,Yelp/mrjob,Python,438351979,2183,1,1,3,1,,,229,,,,,,,,
17,17,Yelp/mrjob,Python,424117555,2177,9,3,184,0,,,552,,,,,,,,
18,18,Yelp/mrjob,Python,423629454,2175,1,1,2,0,,,427,,,,,,,,
19,19,Yelp/mrjob,Python,422341692,2174,39,10,1672,0,,,1457,,,,,,,,
20,20,Yelp/mrjob,Python,422150193,2172,11,2,14,0,,,0,,,,,,,,
21,21,Yelp/mrjob,Python,422054068,2171,4,3,14,0,,,0,,,,,,,,
22,22,Yelp/mrjob,Python,421835061,2170,5,4,16,0,,,0,,,,,,,,
23,23,Yelp/mrjob,Python,418762354,2169,22,9,904,1,,,470,,,,,,,,
24,24,Yelp/mrjob,Python,407465680,2167,28,10,1099,1,,,594,,,,,,,,
25,25,Yelp/mrjob,Python,406439553,2166,4,2,6,0,,,21,,,,,,,,
26,26,Yelp/mrjob,Python,406437982,2165,2,3,56,0,,,21,,,,,,,,
27,27,Yelp/mrjob,Python,405405086,2163,12,7,429,2,,,1368,,,,,,,,
28,28,Yelp/mrjob,Python,402261871,2158,18,21,185,1,,,303,,,,,,,,
29,29,Yelp/mrjob,Python,402256822,2157,4,5,72,1,,,295,,,,,,,,
30,30,Yelp/mrjob,Python,401031508,2156,5,5,28,1,,,289,,,,,,,,
31,31,Yelp/mrjob,Python,397258326,2155,2,3,33,1,,,277,,,,,,,,
32,32,Yelp/mrjob,Python,392702709,2152,11,6,79,1,,,303,,,,,,,,
33,33,Yelp/mrjob,Python,358293433,2143,26,11,201,1,,,208,,,,,,,,
34,34,Yelp/mrjob,Python,357086128,2142,2,2,4,0,,,0,,,,,,,,
35,35,Yelp/mrjob,Python,356473623,2141,4,2,102,0,,,239,,,,,,,,
36,36,Yelp/mrjob,Python,354864109,2137,43,22,762,0,,,386,,,,,,,,
37,37,Yelp/mrjob,Python,354821666,2135,4,8,43,1,,,65,,,,,,,,
38,38,Yelp/mrjob,Python,353794278,2134,2,2,26,0,,,12,,,,,,,,
39,39,Yelp/mrjob,Python,353164586,2133,1,1,2,1,,,14,,,,,,,,
40,40,Yelp/mrjob,Python,340723502,2128,2,5,140,1,,,118,,,,,,,,
41,41,Yelp/mrjob,Python,340714591,2127,39,60,2266,0,,,127,,,,,,,,
42,42,Yelp/mrjob,Python,336912503,2125,8,9,199,0,,,498,,,,,,,,
43,43,Yelp/mrjob,Python,332878974,2119,4,2,27,0,,,236,,,,,,,,
44,44,Yelp/mrjob,Python,332697594,2118,6,12,1910,0,,,347,,,,,,,,
45,45,Yelp/mrjob,Python,332645077,2117,2,7,89,0,,,136,,,,,,,,
46,46,Yelp/mrjob,Python,332254170,2116,42,50,2252,0,,,85,,,,,,,,
47,47,Yelp/mrjob,Python,329907867,2115,14,5,226,0,,,407,,,,,,,,
48,48,Yelp/mrjob,Python,328142964,2113,2,1,4,1,,,44,,,,,,,,
49,49,Yelp/mrjob,Python,326496554,2112,2,2,17,0,,,236,,,,,,,,
50,50,Yelp/mrjob,Python,324372010,2108,8,8,516,0,,,292,,,,,,,,
51,51,Yelp/mrjob,Python,323866450,2107,1,2,59,1,,,0,,,,,,,,
52,52,Yelp/mrjob,Python,323013115,2106,5,3,53,0,,,289,,,,,,,,
53,53,Yelp/mrjob,Python,322281705,2104,7,6,140,0,,,309,,,,,,,,
54,54,Yelp/mrjob,Python,320512697,2100,3,2,78,0,,,86,,,,,,,,
55,55,Yelp/mrjob,Python,320472001,2099,54,24,1633,0,,,85,,,,,,,,
56,56,Yelp/mrjob,Python,312140435,2095,8,7,53,0,,,401,,,,,,,,
57,57,Yelp/mrjob,Python,307452559,2092,1,1,5,0,,,190,,,,,,,,
58,58,Yelp/mrjob,Python,301697307,2089,2,2,29,0,,,255,,,,,,,,
59,59,Yelp/mrjob,Python,298694385,2086,7,8,278,0,,,309,,,,,,,,
60,60,Yelp/mrjob,Python,293173944,2083,5,9,44,0,,,122,,,,,,,,
61,61,Yelp/mrjob,Python,292239572,2082,7,4,88,0,,,303,,,,,,,,
62,62,Yelp/mrjob,Python,291334311,2081,3,4,108,0,,,145,,,,,,,,
63,63,Yelp/mrjob,Python,291140421,2080,8,7,97,0,,,123,,,,,,,,
64,64,Yelp/mrjob,Python,285439060,2077,4,2,16,0,,,300,,,,,,,,
65,65,Yelp/mrjob,Python,284222108,2074,7,2,92,0,,,118,,,,,,,,
66,66,Yelp/mrjob,Python,281384804,2072,2,2,24,0,,,64,,,,,,,,
67,67,Yelp/mrjob,Python,280592536,2069,2,2,35,0,,,125,,,,,,,,
68,68,Yelp/mrjob,Python,280582067,2068,3,3,26,0,,,72,,,,,,,,
69,69,Yelp/mrjob,Python,279743860,2067,19,9,400,0,,,165,,,,,,,,
70,70,Yelp/mrjob,Python,278502245,2065,6,8,97,0,,,418,,,,,,,,
71,71,Yelp/mrjob,Python,278494731,2064,2,2,29,0,,,208,,,,,,,,
72,72,Yelp/mrjob,Python,278472699,2063,1,2,6,1,,,228,,,,,,,,
73,73,Yelp/mrjob,Python,272239804,2053,3,2,59,0,,,212,,,,,,,,
74,74,Yelp/mrjob,Python,270702938,2052,10,8,170,0,,,407,,,,,,,,
75,75,Yelp/mrjob,Python,269356134,2050,20,6,490,0,,,612,,,,,,,,
76,76,Yelp/mrjob,Python,268004299,2049,13,8,278,0,,,268,,,,,,,,
77,77,Yelp/mrjob,Python,267201024,2043,19,8,274,0,,,441,,,,,,,,
78,78,Yelp/mrjob,Python,266433600,2042,9,10,232,0,,,955,,,,,,,,
79,79,Yelp/mrjob,Python,264329779,2041,12,10,301,0,,,684,,,,,,,,
80,80,Yelp/mrjob,Python,263871229,2038,4,4,116,0,,,629,,,,,,,,
81,81,Yelp/mrjob,Python,263780852,2037,5,4,134,0,,,137,,,,,,,,
82,82,Yelp/mrjob,Python,263749107,2034,8,7,70,0,,,457,,,,,,,,
83,83,Yelp/mrjob,Python,263432931,2030,5,3,42,0,,,381,,,,,,,,
84,84,Yelp/mrjob,Python,263412129,2028,7,12,376,1,,,274,,,,,,,,
85,85,Yelp/mrjob,Python,263378176,2027,4,14,150,1,,,328,,,,,,,,
86,86,Yelp/mrjob,Python,262309713,2026,1,2,33,0,,,325,,,,,,,,
87,87,Yelp/mrjob,Python,262281165,2025,4,1,8,0,,,683,,,,,,,,
88,88,Yelp/mrjob,Python,262268699,2023,15,7,222,0,,,284,,,,,,,,
89,89,Yelp/mrjob,Python,261723479,2021,39,12,225,2,,,129,,,,,,,,
90,90,Yelp/mrjob,Python,261711859,2020,4,6,35,0,,,163,,,,,,,,
91,91,Yelp/mrjob,Python,260175399,2018,1,1,3,1,,,0,,,,,,,,
92,92,Yelp/mrjob,Python,260019079,2016,6,4,194,2,,,7,,,,,,,,
93,93,Yelp/mrjob,Python,259318201,2011,2,7,166,1,,,12,,,,,,,,
94,94,Yelp/mrjob,Python,259317961,2010,3,9,907,1,,,234,,,,,,,,
95,95,Yelp/mrjob,Python,258073415,2009,7,2,127,2,,,154,,,,,,,,
96,96,Yelp/mrjob,Python,258072235,2008,1,3,8,0,,,272,,,,,,,,
97,97,Yelp/mrjob,Python,257223185,2007,1,1,10,12,,,53,,,,,,,,
98,98,Yelp/mrjob,Python,257207244,2006,1,5,319,5,,,64,,,,,,,,
99,99,Yelp/mrjob,Python,257207231,2005,1,8,512,10,,,936,,,,,,,,
100,100,Yelp/mrjob,Python,257207187,2004,8,4,534,0,,,337,,,,,,,,
101,101,Yelp/mrjob,Python,256894732,2003,4,8,415,0,,,114,,,,,,,,
102,102,Yelp/mrjob,Python,256881737,2002,4,4,73,0,,,356,,,,,,,,
103,103,Yelp/mrjob,Python,256852047,2001,1,2,41,0,,,191,,,,,,,,
104,104,Yelp/mrjob,Python,256846622,2000,7,9,159,2,,,326,,,,,,,,
105,105,Yelp/mrjob,Python,256787126,1999,3,2,37,0,,,113,,,,,,,,
106,106,Yelp/mrjob,Python,256741931,1998,3,2,14,0,,,183,,,,,,,,
107,107,Yelp/mrjob,Python,256409169,1997,4,1,111,0,,,258,,,,,,,,
108,108,Yelp/mrjob,Python,255723559,1992,34,14,764,0,,,167,,,,,,,,
109,109,Yelp/mrjob,Python,254839912,1991,8,3,476,1,,,270,,,,,,,,
110,110,Yelp/mrjob,Python,253543795,1990,1,2,431,2,,,689,,,,,,,,
111,111,Yelp/mrjob,Python,252123108,1989,7,5,196,1,,,319,,,,,,,,
112,112,Yelp/mrjob,Python,251652931,1988,29,14,899,0,,,423,,,,,,,,
113,113,Yelp/mrjob,Python,251620888,1987,6,7,107,0,,,228,,,,,,,,
114,114,Yelp/mrjob,Python,251226688,1983,13,14,297,0,,,122,,,,,,,,
115,115,Yelp/mrjob,Python,249457317,1978,1,2,170,1,,,0,,,,,,,,
116,116,Yelp/mrjob,Python,248675556,1976,18,13,426,0,,,651,,,,,,,,
117,117,Yelp/mrjob,Python,248376241,1975,3,3,64,0,,,107,,,,,,,,
118,118,Yelp/mrjob,Python,247867927,1971,11,7,244,1,,,257,,,,,,,,
119,119,Yelp/mrjob,Python,247854943,1970,3,6,175,0,,,281,,,,,,,,
120,120,Yelp/mrjob,Python,247833205,1968,5,3,78,4,,,636,,,,,,,,
121,121,Yelp/mrjob,Python,247459874,1964,2,1,2,4,,,10,,,,,,,,
122,122,Yelp/mrjob,Python,246796324,1963,1,1,7,0,,,202,,,,,,,,
123,123,Yelp/mrjob,Python,246787135,1962,25,11,430,0,,,133,,,,,,,,
124,124,Yelp/mrjob,Python,244667701,1960,4,3,29,0,,,234,,,,,,,,
125,125,Yelp/mrjob,Python,244635349,1958,8,14,511,0,,,236,,,,,,,,
126,126,Yelp/mrjob,Python,244543803,1957,1,1,101,0,,,44,,,,,,,,
127,127,Yelp/mrjob,Python,244199260,1949,11,3,246,0,,,332,,,,,,,,
128,128,Yelp/mrjob,Python,243481658,1939,3,1,57,0,,,422,,,,,,,,
129,129,Yelp/mrjob,Python,243471006,1938,5,3,94,0,,,132,,,,,,,,
130,130,Yelp/mrjob,Python,243157206,1933,2,2,31,0,,,110,,,,,,,,
131,131,Yelp/mrjob,Python,242360000,1930,1,1,12,1,,,0,,,,,,,,
132,132,Yelp/mrjob,Python,242092831,1929,1,1,10,2,,,660,,,,,,,,
133,133,Yelp/mrjob,Python,241825714,1928,5,10,36,0,,,161,,,,,,,,
134,134,Yelp/mrjob,Python,241404906,1925,3,5,27,0,,,209,,,,,,,,
135,135,Yelp/mrjob,Python,241202332,1923,25,7,572,2,,,98,,,,,,,,
136,136,Yelp/mrjob,Python,241025185,1918,2,2,28,0,,,152,,,,,,,,
137,137,Yelp/mrjob,Python,240617003,1917,3,4,62,0,,,185,,,,,,,,
