publish_date,start_date,number_of_commits,number_of_prs
2013-03-28T23:05:17+09:00,2013-03-28T14:33:33+09:00,3,1
2013-03-29T09:52:02+09:00,2013-03-28T23:05:17+09:00,5,1
2013-03-29T15:13:15+09:00,2013-03-29T09:52:02+09:00,3,1
2013-03-29T17:15:54+09:00,2013-03-29T15:13:15+09:00,5,1
2013-03-29T17:45:00+09:00,2013-03-29T17:15:54+09:00,3,1
2013-03-30T16:11:45+09:00,2013-03-29T17:45:00+09:00,14,0
2013-03-30T16:14:02+09:00,2013-03-30T16:11:45+09:00,2,0
2013-03-31T13:03:34+09:00,2013-03-30T16:14:02+09:00,13,1
2013-04-02T00:32:55+09:00,2013-03-31T13:03:34+09:00,3,1
2013-04-02T23:51:14+09:00,2013-04-02T00:32:55+09:00,2,0
2013-04-03T13:48:44+09:00,2013-04-02T23:51:14+09:00,4,1
2013-04-03T18:21:40+09:00,2013-04-03T13:48:44+09:00,4,0
2013-04-04T00:07:14+09:00,2013-04-03T18:21:40+09:00,5,1
2013-04-04T11:08:00+09:00,2013-04-04T00:07:14+09:00,3,1
2013-04-05T16:51:01+09:00,2013-04-04T11:08:00+09:00,4,0
2013-04-06T13:03:49+09:00,2013-04-05T16:51:01+09:00,16,1
2013-04-08T10:36:45+09:00,2013-04-06T13:03:49+09:00,9,0
2013-04-09T12:08:29+09:00,2013-04-08T10:36:45+09:00,10,2
2013-04-09T15:22:34+09:00,2013-04-09T12:08:29+09:00,15,2
2013-04-09T23:50:12+09:00,2013-04-09T15:22:34+09:00,7,1
2013-04-10T22:11:48+09:00,2013-04-09T23:50:12+09:00,9,2
2013-04-11T09:46:08+09:00,2013-04-10T22:11:48+09:00,3,1
2013-04-12T15:10:44+09:00,2013-04-11T09:46:08+09:00,5,1
2013-04-13T16:53:05+09:00,2013-04-12T15:10:44+09:00,12,2
2013-04-15T09:49:57+09:00,2013-04-13T16:53:05+09:00,6,1
2013-04-21T01:07:26+09:00,2013-04-15T09:49:57+09:00,4,1
2013-04-23T15:56:32+09:00,2013-04-21T01:07:26+09:00,5,1
2013-04-23T17:24:33+09:00,2013-04-23T15:56:32+09:00,10,0
2013-04-23T18:51:04+09:00,2013-04-23T17:24:33+09:00,2,0
2013-04-27T18:24:12+09:00,2013-04-23T18:51:04+09:00,14,1
2013-04-28T19:35:23+09:00,2013-04-27T18:24:12+09:00,16,3
2013-04-29T16:21:03+09:00,2013-04-28T19:35:23+09:00,4,1
2013-05-01T12:33:15+09:00,2013-04-29T16:21:03+09:00,8,3
2013-05-01T13:44:15+09:00,2013-05-01T12:33:15+09:00,3,1
2013-05-02T15:33:45+09:00,2013-05-01T13:44:15+09:00,19,4
2013-05-04T02:35:08+09:00,2013-05-02T15:33:45+09:00,10,2
2013-05-04T18:06:56+09:00,2013-05-04T02:35:08+09:00,2,0
2013-05-05T16:49:02+09:00,2013-05-04T18:06:56+09:00,7,0
2013-05-07T10:35:25+09:00,2013-05-05T16:49:02+09:00,13,3
2013-05-07T21:13:30+09:00,2013-05-07T10:35:25+09:00,3,0
2013-05-09T13:00:49+09:00,2013-05-07T21:13:30+09:00,8,2
2013-05-10T18:38:34+09:00,2013-05-09T13:00:49+09:00,6,0
2013-05-13T14:09:05+09:00,2013-05-10T18:38:34+09:00,5,0
2013-05-13T18:40:58+09:00,2013-05-13T14:09:05+09:00,3,1
2013-05-13T21:53:02+09:00,2013-05-13T18:40:58+09:00,6,2
2013-05-14T09:35:28+09:00,2013-05-13T21:53:02+09:00,3,1
2013-05-14T21:40:36+09:00,2013-05-14T09:35:28+09:00,4,1
2013-05-17T13:57:12+09:00,2013-05-14T21:40:36+09:00,11,2
2013-05-18T14:15:11+09:00,2013-05-17T13:57:12+09:00,14,3
2013-05-19T11:12:13+09:00,2013-05-18T14:15:11+09:00,9,2
2013-05-19T14:35:49+09:00,2013-05-19T11:12:13+09:00,11,5
2013-05-19T16:19:05+09:00,2013-05-19T14:35:49+09:00,5,2
2013-05-19T18:38:34+09:00,2013-05-19T16:19:05+09:00,9,4
2013-05-19T22:22:32+09:00,2013-05-19T18:38:34+09:00,3,1
2013-05-20T07:29:13+09:00,2013-05-19T22:22:32+09:00,2,0
2013-05-20T21:09:11+09:00,2013-05-20T07:29:13+09:00,4,1
2013-05-22T22:06:22+09:00,2013-05-20T21:09:11+09:00,9,1
2013-05-25T13:39:10+09:00,2013-05-22T22:06:22+09:00,6,1
2013-05-27T10:16:20+09:00,2013-05-25T13:39:10+09:00,3,0
2013-05-27T11:55:45+09:00,2013-05-27T10:16:20+09:00,3,1
2013-05-29T16:06:20+09:00,2013-05-27T11:55:45+09:00,7,1
2013-05-29T16:28:55+09:00,2013-05-29T16:06:20+09:00,3,0
2013-06-04T23:09:34+09:00,2013-05-29T16:28:55+09:00,13,0
2013-06-06T23:50:31+09:00,2013-06-04T23:09:34+09:00,5,1
2013-06-07T12:17:37+09:00,2013-06-06T23:50:31+09:00,4,1
2013-06-08T00:14:24+09:00,2013-06-07T12:17:37+09:00,3,1
2013-06-09T23:28:27+09:00,2013-06-08T00:14:24+09:00,9,3
2013-06-10T11:16:10+09:00,2013-06-09T23:28:27+09:00,3,1
2013-06-10T12:22:07+09:00,2013-06-10T11:16:10+09:00,5,2
2013-06-12T21:40:14+09:00,2013-06-10T12:22:07+09:00,3,1
2013-06-13T00:53:00+09:00,2013-06-12T21:40:14+09:00,4,1
2013-06-13T09:37:19+09:00,2013-06-13T00:53:00+09:00,41,1
2013-06-13T15:44:29+09:00,2013-06-13T09:37:19+09:00,10,1
2013-06-13T22:58:23+09:00,2013-06-13T15:44:29+09:00,3,1
2013-06-17T13:07:14+09:00,2013-06-13T22:58:23+09:00,6,2
2013-06-18T10:29:42+09:00,2013-06-17T13:07:14+09:00,3,1
2013-06-19T11:10:10+09:00,2013-06-18T10:29:42+09:00,5,1
2013-06-20T12:11:04+09:00,2013-06-19T11:10:10+09:00,4,1
2013-06-23T22:17:10+09:00,2013-06-20T12:11:04+09:00,16,0
2013-06-25T12:41:13+09:00,2013-06-23T22:17:10+09:00,6,1
2013-06-25T21:12:01+09:00,2013-06-25T12:41:13+09:00,3,1
2013-06-26T11:51:17+09:00,2013-06-25T21:12:01+09:00,3,0
2013-06-27T08:55:55+09:00,2013-06-26T11:51:17+09:00,3,1
2013-06-28T11:47:14+09:00,2013-06-27T08:55:55+09:00,4,1
2013-06-30T05:26:25+09:00,2013-06-28T11:47:14+09:00,5,1
2013-06-30T05:50:16+09:00,2013-06-30T05:26:25+09:00,3,1
2013-06-30T06:40:38+09:00,2013-06-30T05:50:16+09:00,5,1
2013-06-30T18:39:49+09:00,2013-06-30T06:40:38+09:00,11,0
2013-07-02T15:47:41+09:00,2013-06-30T18:39:49+09:00,33,11
2013-07-03T12:44:15+09:00,2013-07-02T15:47:41+09:00,16,2
2013-07-03T13:37:06+09:00,2013-07-03T12:44:15+09:00,3,1
2013-07-03T15:29:18+09:00,2013-07-03T13:37:06+09:00,3,1
2013-07-04T19:20:13+09:00,2013-07-03T15:29:18+09:00,9,4
2013-07-05T10:48:28+09:00,2013-07-04T19:20:13+09:00,17,3
2013-07-05T22:21:53+09:00,2013-07-05T10:48:28+09:00,8,2
2013-07-05T23:38:05+09:00,2013-07-05T22:21:53+09:00,5,2
2013-07-07T01:03:56+09:00,2013-07-05T23:38:05+09:00,21,1
2013-07-07T13:43:50+09:00,2013-07-07T01:03:56+09:00,5,2
2013-07-07T18:07:21+09:00,2013-07-07T13:43:50+09:00,15,2
2013-07-07T21:07:50+09:00,2013-07-07T18:07:21+09:00,5,2
2013-07-13T10:38:09+09:00,2013-07-07T21:07:50+09:00,5,1
2013-07-14T18:51:08+09:00,2013-07-13T10:38:09+09:00,3,1
2013-07-15T23:20:22+09:00,2013-07-14T18:51:08+09:00,4,1
2013-07-23T00:58:07+09:00,2013-07-15T23:20:22+09:00,3,0
2013-07-27T22:31:35+09:00,2013-07-23T00:58:07+09:00,3,0
2013-08-01T00:16:07+09:00,2013-07-27T22:31:35+09:00,3,1
2013-08-05T12:01:55+09:00,2013-08-01T00:16:07+09:00,4,1
2013-08-07T16:16:30+09:00,2013-08-05T12:01:55+09:00,2,0
2013-08-07T21:30:11+09:00,2013-08-07T16:16:30+09:00,5,1
2013-08-10T16:17:11+09:00,2013-08-07T21:30:11+09:00,3,1
2013-08-12T11:55:16+09:00,2013-08-10T16:17:11+09:00,12,1
2013-08-14T15:32:03+09:00,2013-08-12T11:55:16+09:00,5,0
2013-08-17T10:21:47+09:00,2013-08-14T15:32:03+09:00,3,1
2013-08-30T15:17:48+09:00,2013-08-17T10:21:47+09:00,6,1
2013-08-31T20:22:22+09:00,2013-08-30T15:17:48+09:00,4,1
2013-09-05T22:56:51+09:00,2013-08-31T20:22:22+09:00,3,1
2013-09-13T12:15:16+09:00,2013-09-05T22:56:51+09:00,4,1
2013-09-13T12:43:23+09:00,2013-09-13T12:15:16+09:00,2,0
2013-09-24T12:03:24+09:00,2013-09-13T12:43:23+09:00,24,2
2013-09-24T12:33:37+09:00,2013-09-24T12:03:24+09:00,2,0
2013-09-24T12:46:02+09:00,2013-09-24T12:33:37+09:00,11,0
2013-09-24T13:20:41+09:00,2013-09-24T12:46:02+09:00,11,0
2013-09-24T13:49:22+09:00,2013-09-24T13:20:41+09:00,4,1
2013-09-25T10:56:40+09:00,2013-09-24T13:49:22+09:00,24,9
2013-09-25T11:47:04+09:00,2013-09-25T10:56:40+09:00,3,1
2013-10-03T12:00:52+09:00,2013-09-25T11:47:04+09:00,31,4
2013-10-08T14:51:07+09:00,2013-10-03T12:00:52+09:00,4,1
2013-10-10T14:00:32+09:00,2013-10-08T14:51:07+09:00,3,1
2013-10-12T22:09:21+09:00,2013-10-10T14:00:32+09:00,7,3
2013-10-14T00:21:25+09:00,2013-10-12T22:09:21+09:00,3,1
2013-10-14T00:33:57+09:00,2013-10-14T00:21:25+09:00,3,1
2013-10-14T16:54:09+09:00,2013-10-14T00:33:57+09:00,4,1
2013-10-16T00:29:17+09:00,2013-10-14T16:54:09+09:00,9,2
2013-10-17T08:44:35+09:00,2013-10-16T00:29:17+09:00,6,1
2013-10-17T23:06:04+09:00,2013-10-17T08:44:35+09:00,10,1
2013-10-18T03:15:44+09:00,2013-10-17T23:06:04+09:00,6,2
2013-10-18T22:12:16+09:00,2013-10-18T03:15:44+09:00,3,1
2013-10-24T11:50:28+09:00,2013-10-18T22:12:16+09:00,3,1
2013-10-26T20:10:02+09:00,2013-10-24T11:50:28+09:00,3,0
2013-10-30T14:52:40+09:00,2013-10-26T20:10:02+09:00,3,1
2013-10-31T11:36:08+09:00,2013-10-30T14:52:40+09:00,3,1
2013-11-13T13:01:05+09:00,2013-10-31T11:36:08+09:00,6,1
2013-11-13T16:18:05+09:00,2013-11-13T13:01:05+09:00,3,1
2013-11-14T18:15:38+09:00,2013-11-13T16:18:05+09:00,4,1
2013-11-14T18:43:40+09:00,2013-11-14T18:15:38+09:00,2,0
2013-11-18T16:13:29+09:00,2013-11-14T18:43:40+09:00,17,2
2013-11-27T09:36:40+09:00,2013-11-18T16:13:29+09:00,3,1
2013-11-30T18:25:02+09:00,2013-11-27T09:36:40+09:00,23,1
2013-12-04T00:18:56+09:00,2013-11-30T18:25:02+09:00,13,1
2013-12-04T02:15:42+09:00,2013-12-04T00:18:56+09:00,3,1
2013-12-04T18:56:41+09:00,2013-12-04T02:15:42+09:00,4,1
2013-12-11T21:38:51+09:00,2013-12-04T18:56:41+09:00,8,3
2013-12-17T00:23:43+09:00,2013-12-11T21:38:51+09:00,9,2
2013-12-17T13:50:43+09:00,2013-12-17T00:23:43+09:00,5,2
2013-12-18T23:13:37+09:00,2013-12-17T13:50:43+09:00,5,1
2013-12-19T07:49:32+09:00,2013-12-18T23:13:37+09:00,6,2
2013-12-24T18:28:56+09:00,2013-12-19T07:49:32+09:00,7,3
2013-12-24T18:32:22+09:00,2013-12-24T18:28:56+09:00,2,0
2013-12-28T10:20:22+09:00,2013-12-24T18:32:22+09:00,3,1
2014-01-12T01:01:54+09:00,2013-12-28T10:20:22+09:00,6,2
2014-01-22T14:58:15+09:00,2014-01-12T01:01:54+09:00,6,2
2014-01-28T12:57:49+09:00,2014-01-22T14:58:15+09:00,4,1
2014-02-03T15:09:09+09:00,2014-01-28T12:57:49+09:00,10,2
2014-02-06T00:41:20+09:00,2014-02-03T15:09:09+09:00,7,2
2014-02-16T16:15:31+09:00,2014-02-06T00:41:20+09:00,7,2
2014-03-08T16:25:45+09:00,2014-02-16T16:15:31+09:00,30,8
2014-03-17T16:39:00+09:00,2014-03-08T16:25:45+09:00,5,2
2014-03-26T23:45:03+09:00,2014-03-17T16:39:00+09:00,3,1
2014-03-28T00:37:58+09:00,2014-03-26T23:45:03+09:00,6,1
2014-04-04T21:56:46+09:00,2014-03-28T00:37:58+09:00,8,3
2014-04-12T22:34:21+09:00,2014-04-04T21:56:46+09:00,14,3
2014-04-15T00:46:45-07:00,2014-04-12T22:34:21+09:00,4,1
2014-04-24T20:43:16+09:00,2014-04-15T00:46:45-07:00,4,1
2014-05-04T13:46:20+09:00,2014-04-24T20:43:16+09:00,13,1
2014-05-06T20:01:34+09:00,2014-05-04T13:46:20+09:00,4,0
2014-05-06T20:08:19+09:00,2014-05-06T20:01:34+09:00,1,0
2014-05-06T23:50:34+09:00,2014-05-06T20:08:19+09:00,4,1
2014-05-07T20:42:49+09:00,2014-05-06T23:50:34+09:00,10,3
2014-05-07T22:40:38+09:00,2014-05-07T20:42:49+09:00,3,1
2014-05-11T00:14:51+09:00,2014-05-07T22:40:38+09:00,10,1
2014-05-21T23:13:01+09:00,2014-05-11T00:14:51+09:00,5,2
2014-05-25T12:43:20+09:00,2014-05-21T23:13:01+09:00,6,0
2014-06-05T23:01:46+09:00,2014-05-25T12:43:20+09:00,6,1
2014-06-07T11:42:26+09:00,2014-06-05T23:01:46+09:00,8,3
2014-06-08T02:23:20+09:00,2014-06-07T11:42:26+09:00,22,3
2014-06-10T23:20:42+09:00,2014-06-08T02:23:20+09:00,21,7
2014-06-11T22:59:06+09:00,2014-06-10T23:20:42+09:00,7,3
2014-06-30T23:45:36+09:00,2014-06-11T22:59:06+09:00,7,2
2014-07-05T09:57:05+09:00,2014-06-30T23:45:36+09:00,33,3
2014-07-05T16:21:26+09:00,2014-07-05T09:57:05+09:00,4,1
2014-07-09T22:51:16+09:00,2014-07-05T16:21:26+09:00,41,14
2014-07-22T23:36:11+09:00,2014-07-09T22:51:16+09:00,94,5
2014-07-23T22:32:07+09:00,2014-07-22T23:36:11+09:00,6,0
2014-07-24T10:22:38+09:00,2014-07-23T22:32:07+09:00,45,15
2014-07-26T18:44:16+09:00,2014-07-24T10:22:38+09:00,107,7
2014-07-26T22:01:14+09:00,2014-07-26T18:44:16+09:00,2,0
2014-07-29T22:51:06+09:00,2014-07-26T22:01:14+09:00,4,1
2014-07-30T13:13:02+09:00,2014-07-29T22:51:06+09:00,3,1
2014-08-02T20:36:56+09:00,2014-07-30T13:13:02+09:00,4,1
2014-08-03T02:36:22+09:00,2014-08-02T20:36:56+09:00,7,1
2014-08-06T10:25:10+09:00,2014-08-03T02:36:22+09:00,54,18
2014-08-08T10:39:14+09:00,2014-08-06T10:25:10+09:00,8,1
2014-08-08T13:26:21+09:00,2014-08-08T10:39:14+09:00,3,1
2014-08-10T19:01:22+09:00,2014-08-08T13:26:21+09:00,138,13
2014-08-10T20:08:38+09:00,2014-08-10T19:01:22+09:00,3,1
2014-08-10T20:29:57+09:00,2014-08-10T20:08:38+09:00,4,1
2014-08-17T16:04:17+09:00,2014-08-10T20:29:57+09:00,13,0
2014-08-31T11:05:13+09:00,2014-08-17T16:04:17+09:00,68,21
2014-09-04T10:30:06+09:00,2014-08-31T11:05:13+09:00,5,2
2014-09-20T00:52:48+09:00,2014-09-04T10:30:06+09:00,174,16
2014-10-03T18:30:06+09:00,2014-09-20T00:52:48+09:00,2,0
2014-10-04T10:14:52+09:00,2014-10-03T18:30:06+09:00,5,1
2014-10-05T14:45:08+09:00,2014-10-04T10:14:52+09:00,3,1
2014-10-15T22:28:30+09:00,2014-10-05T14:45:08+09:00,11,2
2014-10-15T23:45:15+09:00,2014-10-15T22:28:30+09:00,6,1
2014-10-16T06:42:37+09:00,2014-10-15T23:45:15+09:00,3,1
2014-11-26T10:46:59+09:00,2014-10-16T06:42:37+09:00,7,2
2014-11-27T15:21:35+09:00,2014-11-26T10:46:59+09:00,8,2
2014-12-05T13:31:23+09:00,2014-11-27T15:21:35+09:00,3,1
2014-12-08T10:48:24+09:00,2014-12-05T13:31:23+09:00,4,1
2014-12-11T10:10:49+09:00,2014-12-08T10:48:24+09:00,5,2
2015-01-23T16:51:09+09:00,2014-12-11T10:10:49+09:00,10,3
2015-01-27T08:59:37+09:00,2015-01-23T16:51:09+09:00,3,1
2015-02-01T09:56:54+09:00,2015-01-27T08:59:37+09:00,3,1
2015-02-06T10:15:12+09:00,2015-02-01T09:56:54+09:00,3,1
2015-02-24T21:51:49+09:00,2015-02-06T10:15:12+09:00,8,2
2015-02-26T12:00:11+09:00,2015-02-24T21:51:49+09:00,4,2
2015-03-06T13:34:07+09:00,2015-02-26T12:00:11+09:00,8,1
2015-03-11T13:39:40+09:00,2015-03-06T13:34:07+09:00,3,1
2015-03-21T12:49:07+09:00,2015-03-11T13:39:40+09:00,4,1
2015-03-21T22:50:36+09:00,2015-03-21T12:49:07+09:00,3,1
2015-03-23T10:40:53+09:00,2015-03-21T22:50:36+09:00,4,1
2015-03-24T15:10:36+09:00,2015-03-23T10:40:53+09:00,5,1
2015-03-30T10:09:56+09:00,2015-03-24T15:10:36+09:00,5,1
2015-04-10T10:39:26+09:00,2015-03-30T10:09:56+09:00,3,1
2015-05-06T21:58:47+09:00,2015-04-10T10:39:26+09:00,7,1
2015-05-08T21:56:25+09:00,2015-05-06T21:58:47+09:00,5,1
2015-05-13T07:55:49+09:00,2015-05-08T21:56:25+09:00,3,1
2015-06-04T14:47:51+09:00,2015-05-13T07:55:49+09:00,9,2
2015-06-11T08:34:03+09:00,2015-06-04T14:47:51+09:00,3,1
2015-06-22T18:53:41+09:00,2015-06-11T08:34:03+09:00,3,1
2015-07-21T16:59:51+09:00,2015-06-22T18:53:41+09:00,6,1
2015-08-08T09:59:28+09:00,2015-07-21T16:59:51+09:00,10,2
2015-08-19T15:46:50+09:00,2015-08-08T09:59:28+09:00,3,1
2015-08-24T20:25:52+09:00,2015-08-19T15:46:50+09:00,3,1
2015-08-29T22:13:41+09:00,2015-08-24T20:25:52+09:00,3,1
2015-09-07T10:18:22+09:00,2015-08-29T22:13:41+09:00,3,1
2015-09-17T22:46:22+09:00,2015-09-07T10:18:22+09:00,3,1
2015-09-24T09:08:57+09:00,2015-09-17T22:46:22+09:00,5,2
2015-10-28T23:01:51+09:00,2015-09-24T09:08:57+09:00,9,3
2015-11-13T08:36:47+09:00,2015-10-28T23:01:51+09:00,6,1
2015-12-15T14:17:49+09:00,2015-11-13T08:36:47+09:00,9,1
2015-12-27T20:10:49+09:00,2015-12-15T14:17:49+09:00,6,2
2015-12-29T21:17:56+09:00,2015-12-27T20:10:49+09:00,6,1
2016-01-07T22:25:00+09:00,2015-12-29T21:17:56+09:00,3,1
2016-01-09T23:09:40+09:00,2016-01-07T22:25:00+09:00,3,1
2016-01-15T11:58:21+09:00,2016-01-09T23:09:40+09:00,3,1
2016-02-09T11:48:13+09:00,2016-01-15T11:58:21+09:00,3,1
2016-02-27T23:32:25+09:00,2016-02-09T11:48:13+09:00,7,3
2016-03-07T17:30:54+09:00,2016-02-27T23:32:25+09:00,3,1
2016-03-10T18:25:13+09:00,2016-03-07T17:30:54+09:00,3,1
2016-04-02T17:32:01+09:00,2016-03-10T18:25:13+09:00,3,1
2016-04-22T09:00:24+09:00,2016-04-02T17:32:01+09:00,7,3
2016-04-28T14:24:34+09:00,2016-04-22T09:00:24+09:00,5,2
2016-05-06T09:28:43+09:00,2016-04-28T14:24:34+09:00,3,1
2016-05-15T13:24:59+09:00,2016-05-06T09:28:43+09:00,5,2
2016-05-20T20:24:27+09:00,2016-05-15T13:24:59+09:00,5,2
2016-08-31T10:48:11+09:00,2016-05-20T20:24:27+09:00,11,4
2016-10-11T11:08:55+09:00,2016-08-31T10:48:11+09:00,6,2
2016-10-12T01:57:05+09:00,2016-10-11T11:08:55+09:00,4,1
2016-10-14T15:02:05+09:00,2016-10-12T01:57:05+09:00,6,2
2017-01-16T18:44:03+09:00,2016-10-14T15:02:05+09:00,10,2
2017-05-10T18:17:10+09:00,2017-01-16T18:44:03+09:00,8,1
2017-05-22T10:38:37+09:00,2017-05-10T18:17:10+09:00,3,1
2017-05-22T15:52:52+09:00,2017-05-22T10:38:37+09:00,3,1
2017-08-04T11:43:42+09:00,2017-05-22T15:52:52+09:00,3,1
2017-08-10T12:23:25+09:00,2017-08-04T11:43:42+09:00,3,1
2017-09-27T09:23:00+09:00,2017-08-10T12:23:25+09:00,4,1
2017-10-19T13:41:12+09:00,2017-09-27T09:23:00+09:00,4,1
2017-10-26T07:39:10+09:00,2017-10-19T13:41:12+09:00,3,1
2017-11-07T20:41:59+09:00,2017-10-26T07:39:10+09:00,4,1
2019-05-17T21:29:55+09:00,2017-11-07T20:41:59+09:00,16,4
2019-08-18T11:20:44+09:00,2019-05-17T21:29:55+09:00,3,1
2021-06-19T03:45:07+09:00,2019-08-18T11:20:44+09:00,13,3
2021-06-21T21:41:27+09:00,2021-06-19T03:45:07+09:00,6,1
2021-06-24T20:40:39+09:00,2021-06-21T21:41:27+09:00,3,1
2022-02-03T07:37:05+09:00,2021-06-24T20:40:39+09:00,3,1
2022-12-29T12:12:54+09:00,2022-02-03T07:37:05+09:00,3,1
2023-02-16T17:52:31+09:00,2022-12-29T12:12:54+09:00,5,2
2023-09-02T10:45:16+09:00,2023-02-16T17:52:31+09:00,3,1
2025-04-25T06:56:50+09:00,2023-09-02T10:45:16+09:00,5,2
