source,project,mww test (p value): pr lifetime,mww test (p value): merge time,cliff delta (magnitude): pr lifetime,mww test (p value): delivery delay,cliff delta (estimate): delivery delay,cliff delta (magnitude): merge time,cliff delta (magnitude): delivery delay,cliff delta (estimate): pr lifetime,cliff delta (estimate): merge time
your_file,aframevr/aframe,0.0,0.0852944709,large,0.0,-0.7366332233,negligible,large,-0.7362839726,-0.1089662179
author_file,aframevr/aframe,,"0,1006900758",large,"3,46E-035","-0,784",negligible,large,"-0,788","-0,104"
your_file,alohaeditor/aloha-editor,0.0,7.541e-07,large,0.0,-0.5284137673,small,large,-0.5173213618,0.2674897119
author_file,alohaeditor/aloha-editor,,"0,000000349",large,"3,4E-024","-0,549",small,large,"-0,543","0,275"
your_file,analyticalgraphicsinc/cesium,0.0,0.6228958061,large,0.0,-0.5293303278,negligible,large,-0.5104666229,-0.0174437798
author_file,analyticalgraphicsinc/cesium,,"0,6723774709",large,"9,61E-050","-0,526",negligible,large,"-0,503","-0,015"
your_file,androidannotations/androidannotations,0.3775013149,0.0,negligible,0.2323135146,0.0680291285,medium,negligible,0.0502701433,0.3824054498
author_file,androidannotations/androidannotations,,"3,01E-012",negligible,"0,3424437971","0,054",medium,negligible,"0,048","0,396"
your_file,andypetrella/spark-notebook,0.0,3.0004e-06,large,0.0,-0.5983216783,small,large,-0.6020512821,0.3112820513
author_file,andypetrella/spark-notebook,,"0,00000344",large,"8,14E-019","-0,599",small,large,"-0,603","0,309"
your_file,ansible/ansible,0.0,9.13257e-05,large,0.0,0.784628363,negligible,large,0.7325032028,-0.0714924109
author_file,ansible/ansible,,"0,0001335268",large,0,"0,808",negligible,large,"0,773","-0,07"
your_file,apache/incubator-airflow,0.0,2.48e-06,medium,0.0,0.3959090909,small,medium,0.4235664336,0.2293706294
author_file,apache/incubator-airflow,,"0,00000777",medium,"9,65E-017","0,405",small,medium,"0,423","0,218"
your_file,apereo/cas,0.0,0.0333768323,medium,0.0,-0.360493811,negligible,medium,-0.3387095718,-0.0943372761
author_file,apereo/cas,,"0,0364305355",medium,"9,03E-016","-0,356",negligible,medium,"-0,343","-0,093"
your_file,appcelerator/titanium_mobile,0.0040138922,0.0,negligible,0.0003245308,0.0649332167,negligible,negligible,0.051967511,-0.144157841
author_file,appcelerator/titanium_mobile,,"1,38E-016",negligible,"0,0002770609","0,066",small,negligible,"0,054","-0,149"
your_file,babylonjs/babylon.js,9e-10,0.0,small,7e-10,0.2672824263,medium,small,0.2652768872,-0.4568536229
author_file,babylonjs/babylon.js,,"3,78E-028",small,"3,79E-009","0,255",large,small,"0,251","-0,477"
your_file,bcit-ci/codeigniter,0.0,0.2948184633,large,0.0,-0.9631459775,negligible,large,-0.9696010608,-0.0440034027
author_file,bcit-ci/codeigniter,,"0,2210838999",large,"8,91E-120","-0,977",negligible,large,-1,"-0,051"
your_file,bokeh/bokeh,0.0380573342,0.0001898009,negligible,0.15728244,0.0738263517,small,negligible,0.108274787,0.1948145651
author_file,bokeh/bokeh,,"0,0003617205",negligible,"0,179979614","0,07",small,negligible,"0,095","0,186"
your_file,boto/boto,0.000113473,2.07919e-05,small,1.272e-07,-0.2417806584,small,small,-0.1766535903,0.1947944738
author_file,boto/boto,,"0,0000106",small,"0,000000012","-0,261",small,small,"-0,208","0,202"
your_file,buildbot/buildbot,2.181e-07,1.61e-07,small,5.201e-07,0.2914162794,small,small,0.3009679998,0.3042341356
author_file,buildbot/buildbot,,"0,000000279",small,"9,58E-008","0,31",small,small,"0,316","0,298"
your_file,bundler/bundler,0.1725131142,0.5409923435,negligible,0.9148053468,-0.0054088209,negligible,negligible,-0.0688234551,0.0308479717
author_file,bundler/bundler,,"0,5022580254",negligible,"0,7761347537","-0,014",negligible,negligible,"-0,081","0,034"
your_file,cakephp/cakephp,6.57351e-05,3.3e-09,negligible,0.0002936714,0.1281701546,small,negligible,0.1412814249,0.2094827315
author_file,cakephp/cakephp,,"5,76E-010",negligible,"0,0008185137","0,118",small,negligible,"0,128","0,219"
your_file,callemall/material-ui,0.0,0.4204147351,small,0.0,0.2753287982,negligible,small,0.2788575748,0.0279710614
author_file,callemall/material-ui,,"0,34272818",small,"2,59E-016","0,284",negligible,small,"0,307","0,033"
your_file,chef/chef,0.0,0.0012129907,large,0.0,-0.7076429374,small,large,-0.6836593846,0.1897368099
author_file,chef/chef,,"0,001085425",large,"4,13E-040","-0,777",small,large,"-0,762","0,192"
your_file,craftyjs/crafty,0.0,8.6e-09,large,0.0,0.7179819545,medium,large,0.7008514424,0.3492947007
author_file,craftyjs/crafty,,"2,36E-009",large,"2,32E-033","0,731",medium,large,"0,737","0,362"
your_file,cython/cython,0.091879481,0.8497822985,negligible,0.0916643082,-0.1134314904,negligible,negligible,-0.1133563702,-0.0127704327
author_file,cython/cython,,"0,6895513648",negligible,"0,0614930983","-0,126",negligible,negligible,"-0,116","0,027"
your_file,divio/django-cms,4e-10,0.0091486087,small,4.4e-09,-0.3061712499,negligible,small,-0.3265048245,0.1359410426
author_file,divio/django-cms,,"0,013465985",medium,"1,05E-009","-0,318",negligible,small,"-0,351","0,129"
your_file,driftyco/ng-cordova,0.0920236307,0.0387960014,negligible,0.1388377187,-0.1028074534,negligible,negligible,0.1170186335,0.1435031056
author_file,driftyco/ng-cordova,,"0,0678720862",negligible,"0,1088818999","-0,111",negligible,negligible,"0,103","0,127"
your_file,dropwizard/dropwizard,0.0,0.0115883506,large,0.0,0.602388535,negligible,large,0.597611465,0.13172202
author_file,dropwizard/dropwizard,,"0,0126341785",large,"7,73E-035","0,642",negligible,large,"0,646","0,13"
your_file,dropwizard/metrics,0.4501082573,9.261e-06,negligible,0.0115326103,-0.1965645762,medium,small,-0.0588235294,0.3449197861
author_file,dropwizard/metrics,,"0,0000234",negligible,"0,0057160457","-0,215",small,small,"-0,085","0,329"
your_file,elastic/kibana,0.0,0.0,large,0.0,-0.6176085663,large,large,-0.6058982116,0.6158213829
author_file,elastic/kibana,,"3,5E-053",large,"1,89E-057","-0,643",large,large,"-0,643","0,617"
your_file,elastic/logstash,0.0,3.3e-09,small,3e-10,-0.241501361,small,small,-0.2564523078,-0.2270791313
author_file,elastic/logstash,,"4,26E-009",small,"3,32E-010","-0,241",small,small,"-0,248","-0,226"
your_file,ether/etherpad-lite,4.2e-09,0.8739700742,small,1e-10,-0.2601475628,negligible,small,-0.2355607491,0.0063563097
author_file,ether/etherpad-lite,,"0,7882753947",small,"2,16E-012","-0,282",negligible,small,"-0,253","0,011"
your_file,fchollet/keras,0.0034222729,0.1951351879,small,0.0052829841,-0.1854365813,negligible,small,-0.1945939433,0.0861514981
author_file,fchollet/keras,,"0,2109997038",small,"0,0017694365","-0,208",negligible,small,"-0,223","0,083"
your_file,fog/fog,0.0021531504,0.0,negligible,8.24e-08,-0.1602364233,small,small,-0.0916941286,0.2175688233
author_file,fog/fog,,"5,36E-012",negligible,"1,77E-008","-0,168",small,small,"-0,113","0,206"
your_file,frappe/erpnext,0.0,0.0,large,0.0,-0.5873043378,medium,large,-0.5588815726,0.46432594
author_file,frappe/erpnext,,"4,93E-031",large,"5,09E-050","-0,599",medium,large,"-0,577","0,466"
your_file,getsentry/sentry,0.0,0.242388794,medium,0.0,0.4607732895,negligible,medium,0.4463360357,0.0648261003
author_file,getsentry/sentry,,"0,1755642568",large,"3,26E-017","0,468",negligible,medium,"0,481","0,075"
your_file,gollum/gollum,0.2165365537,0.7933129392,negligible,0.3791974716,-0.0687997347,negligible,negligible,-0.0966511936,0.0205570292
author_file,gollum/gollum,,"0,9703836891",negligible,"0,4110231051","-0,064",negligible,negligible,"-0,122","0,003"
your_file,grails/grails-core,0.0,0.0678784325,medium,0.0,-0.491214155,negligible,large,-0.4551555827,-0.1024201749
author_file,grails/grails-core,,"0,0222764674",large,"2,26E-018","-0,49",negligible,large,"-0,485","-0,128"
your_file,habitrpg/habitica,0.0,5.801e-07,medium,0.0,-0.3499433879,small,medium,-0.3321378692,0.2356960992
author_file,habitrpg/habitica,,"0,000000226",medium,"2,93E-013","-0,344",small,medium,"-0,34","0,244"
your_file,hapijs/hapi,0.5261093164,0.0,negligible,0.0055652383,-0.1089978678,medium,negligible,0.0249307036,0.3760554371
author_file,hapijs/hapi,,"4,54E-021",negligible,"0,0022008541","-0,12",medium,negligible,"0,005","0,37"
your_file,haraka/haraka,0.0,0.0025531792,large,0.0,0.4744563008,negligible,large,0.4846341463,0.1196646341
author_file,haraka/haraka,,"0,001945375",large,"2,19E-033","0,478",negligible,large,"0,495","0,123"
your_file,humhub/humhub,0.0002314662,0.0079416163,small,0.0018338384,0.2281973049,small,small,0.269641495,-0.1937452326
author_file,humhub/humhub,,"0,0044975352",small,"0,0008865211","0,243",small,small,"0,276","-0,207"
your_file,invoiceninja/invoiceninja,0.0,0.0660852115,medium,0.0,0.4678957406,negligible,medium,0.4739596068,0.1079514891
author_file,invoiceninja/invoiceninja,,"0,0430169822",large,"3,35E-016","0,483",negligible,large,"0,516","0,119"
your_file,ipython/ipython,0.0,0.0175923941,large,0.0,-0.9735174836,negligible,large,-0.9571375209,-0.065598076
author_file,ipython/ipython,,"0,0085422043",large,"1,59E-285","-0,998",negligible,large,"-0,999","-0,073"
your_file,isagalaev/highlight.js,3.26902e-05,0.3366056892,small,0.0001301739,-0.2787221218,negligible,small,-0.3025919228,0.0700421941
author_file,isagalaev/highlight.js,,"0,3762912657",medium,"0,0000354","-0,301",negligible,small,"-0,341","0,064"
your_file,jashkenas/backbone,0.4953209706,0.7887602877,negligible,0.5114048392,0.0298589065,negligible,negligible,0.031005291,0.0121869489
author_file,jashkenas/backbone,,"0,6767394319",negligible,"0,74317863","0,015",negligible,negligible,"0,037","0,019"
your_file,jashkenas/underscore,6.78e-08,0.035863251,medium,2.23e-08,0.3466383327,negligible,medium,0.3344769317,-0.1300629833
author_file,jashkenas/underscore,,"0,0547553197",medium,"3,75E-009","0,365",negligible,medium,"0,358","-0,119"
your_file,jhipster/generator-jhipster,0.0029534647,0.0003903241,small,0.0077429914,0.1549687596,small,small,0.172976143,0.2063743882
author_file,jhipster/generator-jhipster,,"0,0004978066",small,"0,0003283291","0,209",small,small,"0,23","0,203"
your_file,jsbin/jsbin,0.0,0.0063126271,large,0.0,-0.630789422,negligible,large,-0.6180698656,-0.143263664
author_file,jsbin/jsbin,,"0,0082363762",large,"3,22E-034","-0,64",negligible,large,"-0,639","-0,139"
your_file,kivy/kivy,0.0,0.1914546024,large,0.0,0.5530514324,negligible,large,0.5573725413,0.064238615
author_file,kivy/kivy,,"0,1908346054",large,"6,71E-029","0,549",negligible,large,"0,554","0,064"
your_file,laravel/laravel,0.0768345996,0.4675842391,negligible,0.1524148043,0.0604283802,negligible,negligible,0.0747121821,0.0306760375
author_file,laravel/laravel,,"0,6152726676",negligible,"0,2037506758","0,054",negligible,negligible,"0,061","0,021"
your_file,leaflet/leaflet,0.0,0.0848027177,medium,0.0,0.343150793,negligible,medium,0.3357452853,-0.0674623215
author_file,leaflet/leaflet,,"0,0774276291",medium,"1,32E-020","0,364",negligible,medium,"0,357","-0,069"
your_file,loomio/loomio,1.32e-07,0.0,small,5.1e-08,0.1844300777,small,small,0.1786211806,0.2353017009
author_file,loomio/loomio,,"9,47E-012",small,"0,000000065","0,183",small,small,"0,176","0,231"
your_file,mantl/mantl,0.2230352979,0.0733479348,negligible,0.189598844,0.0758296929,negligible,negligible,0.0704396775,0.1034969899
author_file,mantl/mantl,,"0,0297963259",negligible,"0,1187647244","0,09",negligible,negligible,"0,094","0,126"
your_file,mapbox/mapbox-gl-js,9.2663e-06,1.53694e-05,medium,0.0007060007,0.2699910153,medium,small,0.3533692722,0.3445642408
author_file,mapbox/mapbox-gl-js,,"0,0000204",medium,"0,0004026613","0,282",medium,small,"0,355","0,34"
your_file,matplotlib/matplotlib,0.659465647,0.0002124859,negligible,0.3694787399,0.0284218755,negligible,negligible,0.0139558556,-0.1172903091
author_file,matplotlib/matplotlib,,"0,000241304",negligible,"0,2877091657","0,034",negligible,negligible,"0,018","-0,116"
your_file,mizzy/serverspec,1.314e-07,1.484e-07,medium,0.7048584792,0.025703125,medium,negligible,0.3598046875,0.3580859375
author_file,mizzy/serverspec,,"0,000000174",medium,"0,5623210455","0,039",medium,negligible,"0,385","0,356"
your_file,mozilla-b2g/gaia,6.611e-07,0.0,negligible,0.0,-0.070927617,medium,negligible,-0.0485019009,0.4063526612
author_file,mozilla-b2g/gaia,,0,negligible,"4,57E-013","-0,071",medium,negligible,"-0,051","0,414"
your_file,mozilla/pdf.js,0.0,0.0,medium,0.0,-0.4597874253,small,medium,-0.4154394358,0.2429252531
author_file,mozilla/pdf.js,,"3,14E-027",medium,"2,4E-099","-0,474",small,large,"-0,439","0,242"
your_file,netflix/hystrix,0.0009438574,0.008733469,small,0.0004507889,0.1937355351,negligible,small,0.1826171264,0.1446175017
author_file,netflix/hystrix,,"0,0113370419",small,"0,00015035","0,209",negligible,small,"0,189","0,14"
your_file,openhab/openhab,8.4e-09,5.79606e-05,small,1.008e-07,0.167566582,negligible,small,0.1812221595,-0.1265018194
author_file,openhab/openhab,,"0,0000357",small,"0,00000004","0,173",negligible,small,"0,194","-0,13"
your_file,owncloud/core,0.0,0.6287376418,small,0.0,-0.1650082822,negligible,small,-0.1594374625,-0.0065002654
author_file,owncloud/core,,"0,8712971826",small,"9,41E-038","-0,173",negligible,small,"-0,171","-0,002"
your_file,photonstorm/phaser,1e-10,1e-10,medium,2.4169e-06,0.2454839809,medium,small,0.3382997371,0.3339541338
author_file,photonstorm/phaser,,"3,91E-010",medium,"5,45E-008","0,283",small,small,"0,366","0,326"
your_file,processing/p5.js,0.8804427653,0.0263000446,negligible,0.6889129583,-0.0264071856,negligible,negligible,0.0099401198,0.1464071856
author_file,processing/p5.js,,"0,0204442427",negligible,"0,7288085019","-0,023",small,negligible,"0,023","0,153"
your_file,puppetlabs/puppet,2.93343e-05,3.5701e-06,small,3.99461e-05,-0.1570023796,small,small,-0.159707716,0.177149733
author_file,puppetlabs/puppet,,"0,000000817",small,"0,0000181","-0,164",small,small,"-0,17","0,188"
your_file,pylons/pyramid,1e-10,2.937e-07,medium,1e-10,0.3396300598,small,medium,0.3380513416,-0.2621156033
author_file,pylons/pyramid,,"0,000000359",medium,"1,32E-012","0,368",small,medium,"0,372","-0,26"
your_file,pyrocms/pyrocms,8.6e-09,0.0200173604,small,1.94e-08,0.2479917411,negligible,small,0.254105236,0.1026954221
author_file,pyrocms/pyrocms,,"0,0144211427",small,"1,25E-008","0,251",negligible,small,"0,252","0,108"
your_file,rails/rails,0.0,0.0114058675,small,0.0,0.2050756325,negligible,small,0.2128985549,0.0654243047
author_file,rails/rails,,"0,01239009",small,"1,46E-015","0,206",negligible,small,"0,216","0,065"
your_file,reactivex/rxjava,0.0,0.0,large,0.0,0.542993892,small,large,0.5739503973,0.2047587186
author_file,reactivex/rxjava,,"4,25E-011",large,"2,6E-073","0,56",small,large,"0,595","0,204"
your_file,refinery/refinerycms,0.0054127776,0.0,negligible,0.0469377581,0.0757377992,large,negligible,0.1060225522,0.47466061
author_file,refinery/refinerycms,,"1,76E-035",negligible,"0,0205747994","0,088",medium,negligible,"0,111","0,474"
your_file,request/request,0.0,0.2585349748,large,0.0,-0.7296169,negligible,large,-0.7446894124,0.0624863777
author_file,request/request,,"0,2422902834",large,"7,98E-042","-0,749",negligible,large,"-0,777","0,065"
your_file,robolectric/robolectric,2.47816e-05,3.4e-09,small,0.0001694287,-0.1719221022,small,small,-0.1927704415,-0.2702747766
author_file,robolectric/robolectric,,"7,66E-010",small,"0,000137971","-0,174",small,small,"-0,196","-0,281"
your_file,roots/sage,1.582e-07,0.5524705256,small,1.051e-07,-0.3067148572,negligible,small,-0.3023958902,-0.0342789598
author_file,roots/sage,,"0,4694585032",small,"0,000000159","-0,302",negligible,small,"-0,303","-0,042"
your_file,saltstack/salt,0.0,0.0,small,0.0,-0.2183089043,medium,small,-0.2069574889,0.3965611414
author_file,saltstack/salt,,"1,78E-047",small,"1,2E-016","-0,226",medium,small,"-0,22","0,395"
your_file,scikit-image/scikit-image,0.0,0.0033804044,large,0.0,0.5460740693,negligible,large,0.5182781295,0.1281568778
author_file,scikit-image/scikit-image,,"0,0017729402",large,"5,31E-039","0,571",negligible,large,"0,571","0,137"
your_file,scikit-learn/scikit-learn,0.0,0.0053382318,large,0.0,0.5488900024,negligible,large,0.5557202769,0.0987551643
author_file,scikit-learn/scikit-learn,,"0,0101209601",large,"2,12E-062","0,591",negligible,large,"0,604","0,091"
your_file,scipy/scipy,1.1481e-06,0.0501614828,small,1.108e-07,-0.1963972298,negligible,small,-0.1799807195,-0.0724682477
author_file,scipy/scipy,,"0,0406434696",small,"6,66E-008","-0,2",negligible,small,"-0,187","-0,076"
your_file,sensu/sensu,0.0,0.0,medium,0.0,0.3980815569,medium,medium,0.4412880711,0.3427809116
author_file,sensu/sensu,,"7,84E-014",medium,"5,25E-018","0,402",medium,medium,"0,448","0,345"
your_file,serverless/serverless,0.0,0.0001482381,small,1e-10,0.2806302926,small,small,0.2827169757,0.1632186372
author_file,serverless/serverless,,"0,0000417",small,"1,36E-009","0,261",small,small,"0,276","0,176"
your_file,siacs/conversations,0.4068730322,0.0813577353,negligible,0.8783472807,-0.0103594346,negligible,negligible,0.0559493352,0.1175187686
author_file,siacs/conversations,,"0,0771025283",negligible,"0,9049068847","-0,008",negligible,negligible,"0,045","0,119"
your_file,spinnaker/spinnaker,0.0035406719,1.171e-07,small,5.92909e-05,-0.2446040994,small,small,-0.1777402119,0.3225465632
author_file,spinnaker/spinnaker,,"2,99E-008",small,"0,0000384","-0,251",medium,small,"-0,187","0,337"
your_file,square/picasso,0.0635744651,0.5779794744,negligible,0.0260153789,0.1718577075,negligible,small,0.1432411067,-0.0430039526
author_file,square/picasso,,"0,6692020705",negligible,"0,0488513664","0,152",negligible,small,"0,133","-0,033"
your_file,sympy/sympy,0.0,0.0006850402,small,0.0,-0.3118446992,negligible,small,-0.3041828039,0.0807094041
author_file,sympy/sympy,,"0,0000752",small,"2,28E-040","-0,316",negligible,small,"-0,309","0,094"
your_file,telescopejs/telescope,0.0264876871,9e-10,small,0.0036489947,-0.1953991635,medium,small,-0.1491634843,0.4121203855
author_file,telescopejs/telescope,,"6,41E-011",negligible,"0,0063379833","-0,183",medium,small,"-0,112","0,439"
your_file,theano/theano,0.0632187612,0.0,negligible,0.0100709683,-0.0689814304,medium,negligible,-0.0497959134,0.3440618229
author_file,theano/theano,,"1,57E-037",negligible,"0,0026996461","-0,08",medium,negligible,"-0,068","0,343"
your_file,tryghost/ghost,1.78e-08,0.0,small,0.000182822,0.1329133743,small,negligible,0.2000602742,0.2641523025
author_file,tryghost/ghost,,"6,19E-013",small,"0,000182461","0,133",small,negligible,"0,188","0,256"
your_file,twbs/bootstrap,0.0,0.620335323,medium,0.0,0.3875922445,negligible,medium,0.427744709,0.0263549499
author_file,twbs/bootstrap,,"0,5705818769",medium,"9,97E-013","0,379",negligible,medium,"0,419","0,03"
your_file,vanilla/vanilla,0.0,4e-10,large,0.0,-0.4410696212,medium,medium,-0.6211140833,-0.3613631434
author_file,vanilla/vanilla,,"5,21E-011",large,"2,61E-015","-0,455",medium,medium,"-0,661","-0,378"
your_file,woocommerce/woocommerce,0.0154515386,2.64e-08,negligible,0.0420812813,-0.0472675606,negligible,negligible,-0.0563107723,-0.1293819089
author_file,woocommerce/woocommerce,,"9,83E-009",negligible,"0,0292372824","-0,051",negligible,negligible,"-0,054","-0,133"
your_file,yelp/mrjob,0.1608313281,0.0287876856,negligible,0.1103222966,0.0904588113,negligible,negligible,0.0794447341,-0.123848627
author_file,yelp/mrjob,,"0,0317118327",negligible,"0,1292751657","0,086",negligible,negligible,"0,067","-0,122"
your_file,yiisoft/yii,0.779236833,0.3836933801,negligible,0.7114076115,-0.0194938728,negligible,negligible,-0.0147725365,0.0458808964
author_file,yiisoft/yii,,"0,4607482591",negligible,"0,6679685232","-0,023",negligible,negligible,"-0,028","0,039"
your_file,zurb/foundation-sites,0.0,4.1e-09,small,0.0,0.2837202038,small,small,0.291803467,0.1844125677
author_file,zurb/foundation-sites,,"2,46E-009",small,"4,75E-020","0,288",small,small,"0,306","0,187"
